mean,var,temp
9.694056,0.016765,34.5
9.740476,0.03464,34.50941
9.68333,0.02785,34.51088
9.841182,0.036861,34.51206
9.920753,0.011709,34.51
9.925858,0.017695,34.51412
9.78477,0.029747,34.51706
9.974809,0.009722,34.52382
9.757957,0.035304,34.52441
9.785847,0.03589,34.52794
9.705325,0.018202,34.52088
9.768065,0.040832,34.53147
9.814607,0.047613,34.53912
9.757238,0.032917,34.54029
9.770221,0.030871,34.52529
9.754871,0.036296,34.54294
9.781222,0.042586,34.53764
9.749098,0.035337,34.53205
9.756869,0.038454,34.53794
9.709219,0.048134,34.53353
9.712676,0.042269,34.52912
9.713399,0.042547,34.53088
9.844217,0.037991,34.51853
9.819272,0.048362,34.52764
9.729964,0.045714,34.53382
9.766123,0.031287,34.53353
9.670715,0.02771,34.53647
9.801582,0.04204,34.53941
9.740744,0.056827,34.53265
9.822956,0.040193,34.53059
9.915318,0.022323,34.52383
9.60309,0.00635,34.53235
9.97035,0.004205,34.53117
9.783408,0.034803,34.53559
9.565641,0.003356,34.52764
9.721571,0.005808,34.52647
9.817817,0.020955,34.53118
9.633034,0.000893,34.53677
9.969209,0.013889,34.5447
9.684272,0.013397,34.5497
9.649066,0.007899,34.54794
9.677249,0.027086,34.55588
9.692753,0.010351,34.54735
9.981752,0.002697,34.56088
9.607221,0.006351,34.55912
9.800154,0.00452,34.5597
9.552895,0.001327,34.56059
9.993119,0.002749,34.55853
9.865424,0.034362,34.56617
9.764097,0.033445,34.57235
9.665853,0.027636,34.57117
9.650745,0.026578,34.57265
9.930267,0.018483,34.57147
9.895452,0.028919,34.57059
9.604597,0.005545,34.56794
9.812998,0.025182,34.56559
9.763968,0.040717,34.57118
9.678343,0.020663,34.57941
9.766641,0.034746,34.57382
10.02393,0.002755,34.57323
9.767777,0.027529,34.58765
9.923779,0.013284,34.60029
9.93617,0.019135,34.59529
9.788661,0.043201,34.59206
9.75839,0.036315,34.59647
9.853793,0.028806,34.60382
9.82738,0.040195,34.61147
9.730139,0.027276,34.5997
9.793375,0.04634,34.59353
9.816526,0.04168,34.59559
9.766586,0.040842,34.58912
9.850527,0.030609,34.59264
9.759567,0.038816,34.58471
9.754019,0.051306,34.60206
9.847274,0.046876,34.60383
9.888295,0.01745,34.60617
9.772116,0.050977,34.60382
9.731173,0.028136,34.60823
9.869223,0.021182,34.62236
9.812037,0.03036,34.63
9.853134,0.041774,34.62647
9.765932,0.042307,34.63824
9.744133,0.045055,34.63618
9.755649,0.044976,34.63647
9.810793,0.038757,34.64236
9.777349,0.030217,34.64236
9.820951,0.046753,34.64677
9.732975,0.044481,34.65647
9.78979,0.039358,34.65736
9.79788,0.049846,34.66647
9.814145,0.040355,34.66323
9.797248,0.045883,34.67088
9.784693,0.044053,34.67383
9.819776,0.035513,34.67236
9.728193,0.039367,34.67442
9.800501,0.049566,34.67059
9.770674,0.040818,34.67382
9.846144,0.036556,34.67206
9.809591,0.037309,34.66324
9.820239,0.030375,34.68736
9.74222,0.040067,34.68294
9.789843,0.05846,34.69324
9.80831,0.047169,34.68206
9.816792,0.057744,34.67324
9.739746,0.04226,34.67853
9.776294,0.033222,34.68294
9.821881,0.035176,34.67941
9.769953,0.04038,34.67265
9.75457,0.041626,34.67412
9.809837,0.045104,34.67
9.866009,0.034429,34.68912
9.76457,0.047948,34.68706
9.797462,0.036417,34.69706
9.671178,0.022139,34.68824
9.623026,0.013288,34.69265
9.714102,0.021006,34.68147
9.681534,0.020271,34.69941
9.801445,0.035167,34.71441
9.892332,0.030423,34.71589
9.618643,0.001792,34.73382
9.675926,0.025562,34.73235
9.70114,0.017717,34.73529
9.810675,0.037042,34.73559
9.756475,0.031241,34.73088
9.801129,0.04389,34.72823
9.759201,0.044401,34.72882
9.756866,0.042507,34.7247
9.770006,0.041263,34.73294
9.678902,0.02885,34.74059
9.87755,0.014491,34.73529
9.702452,0.031283,34.74559
9.772695,0.042708,34.73941
9.701254,0.021409,34.74823
9.682271,0.012039,34.73824
9.898241,0.003314,34.73979
9.811996,0.00029,32.8847
9.802265,9.7e-05,32.96559
9.806928,9.3e-05,33.02353
9.804239,0.000211,33.07117
9.823515,9.6e-05,33.11
9.801572,6e-05,33.13618
9.80155,0.000139,33.165
9.809559,0.000133,33.18471
9.80324,0.000249,33.20441
9.810282,0.000102,33.22118
9.80171,5.2e-05,33.245
9.811389,0.000515,33.25794
9.802581,0.000185,33.27618
9.801363,0.000292,33.29882
9.802511,0.000253,33.31
9.801687,0.000163,33.31559
9.809998,0.000198,33.3247
9.805948,0.000104,33.33706
9.797325,0.000399,33.35
9.802374,0.000309,33.36089
9.799213,0.000144,33.36912
9.799573,0.000162,33.38412
9.792058,0.000596,33.38853
9.804184,0.000237,33.39236
9.805445,0.000262,33.4
9.805517,0.000254,33.41765
9.803835,0.000177,33.41589
9.795129,0.00022,33.42323
9.799191,0.000219,33.43794
9.794041,0.000254,33.44823
